Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.9099999999999999,0.61,-13.434252443362105
75% Corpus,9,0.9099999999999999,0.9099999999999999,-13.641385576006071
75% Corpus,9,0.9099999999999999,symmetric,-12.606532554481536
75% Corpus,9,symmetric,0.01,-12.450300943329005
75% Corpus,9,symmetric,0.31,-12.904974052387777
75% Corpus,9,symmetric,0.61,-14.292106306311318
75% Corpus,9,symmetric,0.9099999999999999,-14.058966730320675
75% Corpus,9,symmetric,symmetric,-13.68321134779491
75% Corpus,9,asymmetric,0.01,-12.0230318040175
75% Corpus,9,asymmetric,0.31,-14.14409471067569
75% Corpus,9,asymmetric,0.61,-15.22328692152541
75% Corpus,9,asymmetric,0.9099999999999999,-15.497753821696149
75% Corpus,9,asymmetric,symmetric,-13.820261383965772
75% Corpus,10,0.01,0.01,-13.37321509352557
75% Corpus,10,0.01,0.31,-13.660147574935195
75% Corpus,10,0.01,0.61,-14.781981307256405
75% Corpus,10,0.01,0.9099999999999999,-14.75013242962989
75% Corpus,10,0.01,symmetric,-13.675730202607847
75% Corpus,10,0.31,0.01,-13.743257179120159
75% Corpus,10,0.31,0.31,-14.173656656652835
75% Corpus,10,0.31,0.61,-14.765027331749689
75% Corpus,10,0.31,0.9099999999999999,-15.67093747165823
75% Corpus,10,0.31,symmetric,-13.568454574616414
75% Corpus,10,0.61,0.01,-13.119756485431717
75% Corpus,10,0.61,0.31,-13.39855607753268
75% Corpus,10,0.61,0.61,-14.085841501930862
75% Corpus,10,0.61,0.9099999999999999,-14.439723726506989
75% Corpus,10,0.61,symmetric,-13.437450473589161
75% Corpus,10,0.9099999999999999,0.01,-12.903753904910644
75% Corpus,10,0.9099999999999999,0.31,-13.212135565107186
75% Corpus,10,0.9099999999999999,0.61,-14.102051382873046
75% Corpus,10,0.9099999999999999,0.9099999999999999,-14.323485948710289
75% Corpus,10,0.9099999999999999,symmetric,-12.617241530581527
75% Corpus,10,symmetric,0.01,-13.580636637764645
75% Corpus,10,symmetric,0.31,-13.945708331149547
75% Corpus,10,symmetric,0.61,-14.15332640528516
75% Corpus,10,symmetric,0.9099999999999999,-14.119996759604714
75% Corpus,10,symmetric,symmetric,-13.80262387822358
75% Corpus,10,asymmetric,0.01,-12.077084214387153
75% Corpus,10,asymmetric,0.31,-14.669444868176077
75% Corpus,10,asymmetric,0.61,-14.09470325512169
75% Corpus,10,asymmetric,0.9099999999999999,-14.451674056372582
75% Corpus,10,asymmetric,symmetric,-14.28056906795475
100% Corpus,2,0.01,0.01,-8.517262107193073
100% Corpus,2,0.01,0.31,-8.015892912894737
100% Corpus,2,0.01,0.61,-8.42874205374041
100% Corpus,2,0.01,0.9099999999999999,-9.02687924703179
100% Corpus,2,0.01,symmetric,-8.532039246155838
100% Corpus,2,0.31,0.01,-8.113650725630539
100% Corpus,2,0.31,0.31,-8.12518636750111
100% Corpus,2,0.31,0.61,-8.350193565785393
100% Corpus,2,0.31,0.9099999999999999,-8.148628937016957
100% Corpus,2,0.31,symmetric,-8.609051149802642
100% Corpus,2,0.61,0.01,-7.776396214857036
100% Corpus,2,0.61,0.31,-9.110380444330762
100% Corpus,2,0.61,0.61,-9.298753457911204
100% Corpus,2,0.61,0.9099999999999999,-8.982395471002313
100% Corpus,2,0.61,symmetric,-9.235232229971857
100% Corpus,2,0.9099999999999999,0.01,-7.62562112702707
100% Corpus,2,0.9099999999999999,0.31,-9.226240743942796
100% Corpus,2,0.9099999999999999,0.61,-8.957017604264921
100% Corpus,2,0.9099999999999999,0.9099999999999999,-8.979478455462752
100% Corpus,2,0.9099999999999999,symmetric,-10.761304202975856
100% Corpus,2,symmetric,0.01,-8.927737785224535
100% Corpus,2,symmetric,0.31,-8.444764504034659
100% Corpus,2,symmetric,0.61,-8.383804994264025
100% Corpus,2,symmetric,0.9099999999999999,-8.969026846578078
100% Corpus,2,symmetric,symmetric,-11.660245087652461
100% Corpus,2,asymmetric,0.01,-8.319131962686859
100% Corpus,2,asymmetric,0.31,-9.20407503210461
100% Corpus,2,asymmetric,0.61,-11.948266091380821
100% Corpus,2,asymmetric,0.9099999999999999,-12.613070075589945
100% Corpus,2,asymmetric,symmetric,-12.051066525061012
100% Corpus,3,0.01,0.01,-9.365029592860095
100% Corpus,3,0.01,0.31,-9.743909989716729
100% Corpus,3,0.01,0.61,-8.029417003005745
100% Corpus,3,0.01,0.9099999999999999,-9.153998950427352
100% Corpus,3,0.01,symmetric,-8.509266366781885
100% Corpus,3,0.31,0.01,-9.983035856314906
100% Corpus,3,0.31,0.31,-10.196568743541961
100% Corpus,3,0.31,0.61,-9.837207510517679
100% Corpus,3,0.31,0.9099999999999999,-12.242791162325753
100% Corpus,3,0.31,symmetric,-10.50847010458759
100% Corpus,3,0.61,0.01,-8.993156554147225
100% Corpus,3,0.61,0.31,-9.766714033933434
100% Corpus,3,0.61,0.61,-9.396718619482824
100% Corpus,3,0.61,0.9099999999999999,-12.052139408404095
100% Corpus,3,0.61,symmetric,-9.461990786819023
100% Corpus,3,0.9099999999999999,0.01,-7.895933330345099
100% Corpus,3,0.9099999999999999,0.31,-9.443026152096374
100% Corpus,3,0.9099999999999999,0.61,-9.983700238354245
100% Corpus,3,0.9099999999999999,0.9099999999999999,-9.159460312097275
100% Corpus,3,0.9099999999999999,symmetric,-9.942498755659901
100% Corpus,3,symmetric,0.01,-9.852777476515017
100% Corpus,3,symmetric,0.31,-10.430917472933226
100% Corpus,3,symmetric,0.61,-9.825421187079248
100% Corpus,3,symmetric,0.9099999999999999,-10.041711562091676
100% Corpus,3,symmetric,symmetric,-10.04921290475278
100% Corpus,3,asymmetric,0.01,-9.107062760313822
100% Corpus,3,asymmetric,0.31,-13.258183710371858
100% Corpus,3,asymmetric,0.61,-12.511799561296092
100% Corpus,3,asymmetric,0.9099999999999999,-11.350541663227817
100% Corpus,3,asymmetric,symmetric,-12.083299855867603
100% Corpus,4,0.01,0.01,-10.365559618622953
100% Corpus,4,0.01,0.31,-11.77413183808976
100% Corpus,4,0.01,0.61,-11.690016857340165
100% Corpus,4,0.01,0.9099999999999999,-10.60446605575951
100% Corpus,4,0.01,symmetric,-11.161252003337667
100% Corpus,4,0.31,0.01,-10.764814758205368
100% Corpus,4,0.31,0.31,-11.30037966833979
100% Corpus,4,0.31,0.61,-11.74262434698231
100% Corpus,4,0.31,0.9099999999999999,-11.329924625886298
100% Corpus,4,0.31,symmetric,-11.08851458801227
100% Corpus,4,0.61,0.01,-10.340821663813722
100% Corpus,4,0.61,0.31,-11.366532939989591
100% Corpus,4,0.61,0.61,-11.510664536684207
100% Corpus,4,0.61,0.9099999999999999,-10.840894822563952
100% Corpus,4,0.61,symmetric,-10.550189188103616
100% Corpus,4,0.9099999999999999,0.01,-10.133738566942254
100% Corpus,4,0.9099999999999999,0.31,-10.315502241199468
100% Corpus,4,0.9099999999999999,0.61,-10.668797594329376
100% Corpus,4,0.9099999999999999,0.9099999999999999,-10.82457582933692
100% Corpus,4,0.9099999999999999,symmetric,-11.696511552488554
100% Corpus,4,symmetric,0.01,-10.639335322309938
100% Corpus,4,symmetric,0.31,-11.389621798593858
100% Corpus,4,symmetric,0.61,-10.915253923416035
100% Corpus,4,symmetric,0.9099999999999999,-12.281390122709583
100% Corpus,4,symmetric,symmetric,-11.06242482527332
100% Corpus,4,asymmetric,0.01,-8.833064226043227
100% Corpus,4,asymmetric,0.31,-11.036597619727994
100% Corpus,4,asymmetric,0.61,-12.400639693505433
100% Corpus,4,asymmetric,0.9099999999999999,-13.549370910529085
100% Corpus,4,asymmetric,symmetric,-12.462536385976337
100% Corpus,5,0.01,0.01,-11.30041432029092
100% Corpus,5,0.01,0.31,-12.08978192447773
100% Corpus,5,0.01,0.61,-11.935906919477667
100% Corpus,5,0.01,0.9099999999999999,-11.80046449044718
100% Corpus,5,0.01,symmetric,-12.245734779777806
100% Corpus,5,0.31,0.01,-12.066118467263923
100% Corpus,5,0.31,0.31,-12.465182227513585
100% Corpus,5,0.31,0.61,-11.678438929612563
100% Corpus,5,0.31,0.9099999999999999,-12.091183128024158
100% Corpus,5,0.31,symmetric,-11.518669721379819
100% Corpus,5,0.61,0.01,-11.06103891132146
100% Corpus,5,0.61,0.31,-12.278851476744391
100% Corpus,5,0.61,0.61,-12.570577436822827
100% Corpus,5,0.61,0.9099999999999999,-11.245762840685632
100% Corpus,5,0.61,symmetric,-11.939095944507796
100% Corpus,5,0.9099999999999999,0.01,-10.908875060838849
100% Corpus,5,0.9099999999999999,0.31,-13.015568927146916
100% Corpus,5,0.9099999999999999,0.61,-11.787241195510681
100% Corpus,5,0.9099999999999999,0.9099999999999999,-11.655314413496928
100% Corpus,5,0.9099999999999999,symmetric,-11.862175554381363
100% Corpus,5,symmetric,0.01,-11.66876180949306
100% Corpus,5,symmetric,0.31,-13.288821011795733
100% Corpus,5,symmetric,0.61,-11.870988702911157
100% Corpus,5,symmetric,0.9099999999999999,-11.956082430155554
100% Corpus,5,symmetric,symmetric,-12.01498772659549
100% Corpus,5,asymmetric,0.01,-10.179009426707582
100% Corpus,5,asymmetric,0.31,-13.588045501126937
100% Corpus,5,asymmetric,0.61,-12.57169293633991
100% Corpus,5,asymmetric,0.9099999999999999,-12.811328539115252
100% Corpus,5,asymmetric,symmetric,-12.654544332457377
100% Corpus,6,0.01,0.01,-11.701470251924768
100% Corpus,6,0.01,0.31,-12.721058130828219
100% Corpus,6,0.01,0.61,-12.754756356441233
100% Corpus,6,0.01,0.9099999999999999,-12.39693481913026
100% Corpus,6,0.01,symmetric,-13.113051474035805
100% Corpus,6,0.31,0.01,-12.018474669771516
100% Corpus,6,0.31,0.31,-13.506526839771324
100% Corpus,6,0.31,0.61,-13.465866745170183
100% Corpus,6,0.31,0.9099999999999999,-13.755555622668252
100% Corpus,6,0.31,symmetric,-13.952273796022405
100% Corpus,6,0.61,0.01,-11.838925577009718
100% Corpus,6,0.61,0.31,-12.30541723378294
100% Corpus,6,0.61,0.61,-12.689173576361624
100% Corpus,6,0.61,0.9099999999999999,-13.078090083206027
100% Corpus,6,0.61,symmetric,-13.122429680108574
100% Corpus,6,0.9099999999999999,0.01,-11.987804833305496
100% Corpus,6,0.9099999999999999,0.31,-11.82543762667139
100% Corpus,6,0.9099999999999999,0.61,-12.162849875381406
100% Corpus,6,0.9099999999999999,0.9099999999999999,-12.698319691805617
100% Corpus,6,0.9099999999999999,symmetric,-12.521504082480932
100% Corpus,6,symmetric,0.01,-12.606158494163457
100% Corpus,6,symmetric,0.31,-12.806002443406541
100% Corpus,6,symmetric,0.61,-12.880614034053524
100% Corpus,6,symmetric,0.9099999999999999,-12.80791304735297
100% Corpus,6,symmetric,symmetric,-12.865368077522989
100% Corpus,6,asymmetric,0.01,-11.126379274991914
100% Corpus,6,asymmetric,0.31,-14.015438081571368
100% Corpus,6,asymmetric,0.61,-13.648846409632583
100% Corpus,6,asymmetric,0.9099999999999999,-14.767162130499743
